0 | Moisei | Valea Vișeului | Rona de Sus | Bogdan Vodă | Botiza | Vișeu de Jos | Petrova | Leordina | Ruscova | Bocicoel | Șieu | Ieud | Strâmtura | Bârsana | Bistra | Glod | Slătioara | Lunca la Tisa | Firiza | Valea Neagră | Blidari | Remeți | Săpânța | Câmpulung la Tisa | Sarasău | Ardusat | Mogoșești | Hideaga | Colțirea | Tămaia | Fărcașa | Sârbi | Buzești | Băița | Șișești | Șurdești | Crasna Vișeului | Boiu Mare | Groși | Ocoliș | Satu Nou de Jos | Recea | Bozânta Mică | Lăpușel | Mocira | Săsar | Bozânta Mare | Bușag | Merișor | Nistru
Șieu | 25 | 22 | 24 | 5 | 8 | 11 | 13 | 8 | 8 | 8 | 0 | 5 | 9 | 16 | 16 | 11 | 11 | 29 | 47 | 46 | 46 | 53 | 48 | 45 | 40 | 65 | 64 | 62 | 63 | 66 | 69 | 68 | 67 | 55 | 40 | 37 | 13 | 60 | 48 | 50 | 51 | 55 | 61 | 57 | 54 | 55 | 60 | 60 | 62 | 58
Ieud | 24 | 27 | 29 | 3 | 6 | 11 | 18 | 13 | 13 | 7 | 5 | 0 | 13 | 20 | 21 | 13 | 14 | 34 | 48 | 47 | 48 | 56 | 52 | 49 | 44 | 66 | 63 | 62 | 63 | 66 | 69 | 68 | 67 | 56 | 40 | 36 | 18 | 58 | 47 | 50 | 51 | 55 | 61 | 57 | 54 | 55 | 60 | 61 | 62 | 59
Strâmtura | 34 | 16 | 16 | 13 | 12 | 18 | 9 | 9 | 11 | 16 | 9 | 13 | 0 | 8 | 11 | 7 | 4 | 21 | 40 | 39 | 39 | 44 | 39 | 36 | 31 | 60 | 59 | 57 | 58 | 61 | 64 | 63 | 62 | 49 | 36 | 34 | 10 | 59 | 43 | 46 | 46 | 50 | 56 | 52 | 49 | 50 | 54 | 55 | 56 | 51
Bârsana | 41 | 13 | 9 | 21 | 18 | 25 | 11 | 15 | 17 | 24 | 16 | 20 | 8 | 0 | 11 | 10 | 8 | 15 | 35 | 33 | 34 | 37 | 32 | 29 | 23 | 55 | 55 | 54 | 54 | 58 | 61 | 59 | 58 | 44 | 33 | 32 | 14 | 59 | 40 | 43 | 43 | 46 | 52 | 49 | 45 | 46 | 50 | 50 | 52 | 46
Bistra | 36 | 6 | 12 | 20 | 22 | 20 | 3 | 9 | 11 | 21 | 16 | 21 | 11 | 11 | 0 | 17 | 15 | 14 | 46 | 44 | 44 | 43 | 39 | 34 | 29 | 67 | 67 | 65 | 65 | 69 | 72 | 71 | 69 | 55 | 45 | 43 | 5 | 69 | 51 | 54 | 54 | 57 | 63 | 60 | 57 | 57 | 62 | 62 | 63 | 57
Glod | 36 | 21 | 19 | 14 | 8 | 21 | 15 | 14 | 16 | 18 | 11 | 13 | 7 | 10 | 17 | 0 | 3 | 25 | 36 | 35 | 36 | 44 | 40 | 37 | 32 | 55 | 53 | 52 | 53 | 56 | 59 | 58 | 56 | 44 | 30 | 28 | 17 | 53 | 37 | 40 | 41 | 45 | 51 | 47 | 43 | 45 | 49 | 50 | 51 | 47
Slătioara | 36 | 19 | 17 | 15 | 10 | 21 | 13 | 13 | 15 | 18 | 11 | 14 | 4 | 8 | 15 | 3 | 0 | 22 | 36 | 35 | 36 | 43 | 38 | 36 | 30 | 56 | 55 | 53 | 54 | 57 | 60 | 59 | 57 | 45 | 32 | 29 | 15 | 55 | 39 | 42 | 42 | 46 | 52 | 48 | 45 | 46 | 50 | 51 | 52 | 48
Lunca la Tisa | 50 | 9 | 6 | 33 | 32 | 35 | 17 | 23 | 25 | 35 | 29 | 34 | 21 | 15 | 14 | 25 | 22 | 0 | 40 | 38 | 38 | 31 | 26 | 21 | 17 | 61 | 63 | 62 | 61 | 65 | 68 | 66 | 65 | 50 | 44 | 44 | 19 | 71 | 50 | 52 | 52 | 54 | 59 | 57 | 54 | 54 | 57 | 57 | 58 | 51
Firiza | 72 | 45 | 36 | 50 | 42 | 57 | 46 | 48 | 51 | 54 | 47 | 48 | 40 | 35 | 46 | 36 | 36 | 40 | 0 | 2 | 3 | 27 | 26 | 29 | 28 | 21 | 24 | 22 | 22 | 25 | 28 | 26 | 24 | 10 | 15 | 20 | 48 | 39 | 15 | 16 | 15 | 15 | 19 | 17 | 15 | 14 | 17 | 17 | 18 | 12
Valea Neagră | 71 | 43 | 34 | 49 | 41 | 56 | 44 | 47 | 50 | 53 | 46 | 47 | 39 | 33 | 44 | 35 | 35 | 38 | 2 | 0 | 2 | 25 | 24 | 27 | 26 | 23 | 26 | 25 | 24 | 27 | 30 | 29 | 27 | 12 | 16 | 21 | 47 | 41 | 17 | 19 | 17 | 17 | 21 | 20 | 17 | 16 | 19 | 19 | 20 | 13
Blidari | 72 | 43 | 34 | 50 | 42 | 57 | 45 | 47 | 50 | 54 | 46 | 48 | 39 | 34 | 44 | 36 | 36 | 38 | 3 | 2 | 0 | 24 | 22 | 26 | 25 | 24 | 27 | 25 | 25 | 28 | 31 | 29 | 27 | 12 | 18 | 22 | 47 | 43 | 18 | 20 | 18 | 18 | 21 | 21 | 19 | 17 | 20 | 19 | 20 | 14
Remeți | 77 | 39 | 31 | 57 | 52 | 62 | 45 | 50 | 53 | 60 | 53 | 56 | 44 | 37 | 43 | 44 | 43 | 31 | 27 | 25 | 24 | 0 | 5 | 9 | 14 | 43 | 48 | 47 | 46 | 49 | 51 | 50 | 48 | 34 | 40 | 44 | 48 | 66 | 42 | 43 | 42 | 41 | 43 | 43 | 42 | 40 | 42 | 40 | 41 | 33
Săpânța | 73 | 35 | 27 | 53 | 48 | 57 | 41 | 46 | 48 | 56 | 48 | 52 | 39 | 32 | 39 | 40 | 38 | 26 | 26 | 24 | 22 | 5 | 0 | 6 | 10 | 44 | 48 | 47 | 46 | 49 | 51 | 50 | 48 | 34 | 38 | 41 | 43 | 65 | 40 | 42 | 41 | 40 | 43 | 43 | 41 | 39 | 42 | 40 | 41 | 33
Câmpulung la Tisa | 69 | 30 | 22 | 50 | 46 | 53 | 36 | 42 | 44 | 52 | 45 | 49 | 36 | 29 | 34 | 37 | 36 | 21 | 29 | 27 | 26 | 9 | 6 | 0 | 5 | 48 | 52 | 51 | 50 | 53 | 56 | 54 | 52 | 38 | 40 | 42 | 39 | 67 | 43 | 45 | 44 | 44 | 47 | 46 | 44 | 43 | 46 | 45 | 45 | 38
Sarasău | 64 | 25 | 17 | 44 | 40 | 48 | 31 | 37 | 39 | 47 | 40 | 44 | 31 | 23 | 29 | 32 | 30 | 17 | 28 | 26 | 25 | 14 | 10 | 5 | 0 | 49 | 52 | 51 | 50 | 53 | 56 | 54 | 52 | 37 | 37 | 39 | 33 | 65 | 41 | 43 | 42 | 43 | 47 | 46 | 43 | 42 | 45 | 45 | 45 | 38
Ardusat | 89 | 66 | 58 | 68 | 59 | 76 | 66 | 68 | 71 | 72 | 65 | 66 | 60 | 55 | 67 | 55 | 56 | 61 | 21 | 23 | 24 | 43 | 44 | 48 | 49 | 0 | 8 | 8 | 5 | 6 | 8 | 7 | 5 | 12 | 26 | 31 | 69 | 33 | 19 | 17 | 16 | 11 | 5 | 9 | 13 | 10 | 6 | 5 | 4 | 10
Mogoșești | 86 | 67 | 59 | 66 | 57 | 74 | 66 | 67 | 70 | 70 | 64 | 63 | 59 | 55 | 67 | 53 | 55 | 63 | 24 | 26 | 27 | 48 | 48 | 52 | 52 | 8 | 0 | 1 | 3 | 3 | 6 | 5 | 4 | 15 | 23 | 27 | 68 | 25 | 16 | 13 | 13 | 9 | 6 | 7 | 10 | 10 | 7 | 8 | 8 | 15
Hideaga | 85 | 66 | 57 | 64 | 55 | 72 | 65 | 66 | 68 | 68 | 62 | 62 | 57 | 54 | 65 | 52 | 53 | 62 | 22 | 25 | 25 | 47 | 47 | 51 | 51 | 8 | 1 | 0 | 2 | 4 | 7 | 6 | 5 | 14 | 22 | 26 | 67 | 25 | 15 | 12 | 11 | 8 | 5 | 5 | 9 | 8 | 6 | 8 | 8 | 15
Colțirea | 86 | 65 | 57 | 65 | 56 | 73 | 65 | 66 | 69 | 69 | 63 | 63 | 58 | 54 | 65 | 53 | 54 | 61 | 22 | 24 | 25 | 46 | 46 | 50 | 50 | 5 | 3 | 2 | 0 | 4 | 7 | 5 | 4 | 12 | 23 | 27 | 67 | 27 | 16 | 13 | 12 | 8 | 3 | 6 | 9 | 8 | 4 | 6 | 6 | 13
Tămaia | 89 | 69 | 61 | 69 | 60 | 77 | 69 | 70 | 72 | 73 | 66 | 66 | 61 | 58 | 69 | 56 | 57 | 65 | 25 | 27 | 28 | 49 | 49 | 53 | 53 | 6 | 3 | 4 | 4 | 0 | 3 | 2 | 2 | 16 | 26 | 30 | 71 | 28 | 19 | 16 | 16 | 12 | 7 | 9 | 13 | 12 | 8 | 9 | 8 | 16
Fărcașa | 92 | 72 | 64 | 72 | 63 | 80 | 71 | 73 | 75 | 76 | 69 | 69 | 64 | 61 | 72 | 59 | 60 | 68 | 28 | 30 | 31 | 51 | 51 | 56 | 56 | 8 | 6 | 7 | 7 | 3 | 0 | 1 | 3 | 18 | 29 | 33 | 74 | 28 | 22 | 19 | 18 | 15 | 9 | 12 | 15 | 15 | 11 | 11 | 11 | 18
Sârbi | 91 | 71 | 62 | 70 | 61 | 78 | 70 | 71 | 74 | 74 | 68 | 68 | 63 | 59 | 71 | 58 | 59 | 66 | 26 | 29 | 29 | 50 | 50 | 54 | 54 | 7 | 5 | 6 | 5 | 2 | 1 | 0 | 2 | 17 | 28 | 32 | 72 | 28 | 20 | 18 | 17 | 13 | 8 | 11 | 14 | 13 | 9 | 10 | 9 | 17
Buzești | 90 | 69 | 61 | 69 | 60 | 77 | 69 | 70 | 72 | 73 | 67 | 67 | 62 | 58 | 69 | 56 | 57 | 65 | 24 | 27 | 27 | 48 | 48 | 52 | 52 | 5 | 4 | 5 | 4 | 2 | 3 | 2 | 0 | 15 | 27 | 31 | 71 | 29 | 19 | 17 | 16 | 12 | 6 | 9 | 13 | 12 | 7 | 8 | 7 | 15
Băița | 79 | 55 | 46 | 58 | 50 | 66 | 55 | 57 | 60 | 62 | 55 | 56 | 49 | 44 | 55 | 44 | 45 | 50 | 10 | 12 | 12 | 34 | 34 | 38 | 37 | 12 | 15 | 14 | 12 | 16 | 18 | 17 | 15 | 0 | 18 | 23 | 58 | 35 | 13 | 13 | 11 | 8 | 9 | 10 | 9 | 7 | 8 | 7 | 8 | 3
Șișești | 63 | 46 | 39 | 43 | 34 | 50 | 44 | 44 | 46 | 47 | 40 | 40 | 36 | 33 | 45 | 30 | 32 | 44 | 15 | 16 | 18 | 40 | 38 | 40 | 37 | 26 | 23 | 22 | 23 | 26 | 29 | 28 | 27 | 18 | 0 | 5 | 46 | 28 | 7 | 10 | 11 | 15 | 21 | 17 | 14 | 16 | 20 | 21 | 23 | 21
Șurdești | 59 | 45 | 39 | 39 | 30 | 47 | 42 | 42 | 44 | 43 | 37 | 36 | 34 | 32 | 43 | 28 | 29 | 44 | 20 | 21 | 22 | 44 | 41 | 42 | 39 | 31 | 27 | 26 | 27 | 30 | 33 | 32 | 31 | 23 | 5 | 0 | 44 | 27 | 11 | 14 | 15 | 20 | 26 | 21 | 18 | 20 | 24 | 26 | 27 | 26
Crasna Vișeului | 31 | 11 | 16 | 16 | 20 | 16 | 3 | 5 | 6 | 17 | 13 | 18 | 10 | 14 | 5 | 17 | 15 | 19 | 48 | 47 | 47 | 48 | 43 | 39 | 33 | 69 | 68 | 67 | 67 | 71 | 74 | 72 | 71 | 58 | 46 | 44 | 0 | 69 | 53 | 56 | 56 | 59 | 65 | 62 | 58 | 59 | 64 | 64 | 65 | 60
Boiu Mare | 78 | 72 | 65 | 61 | 52 | 69 | 68 | 66 | 68 | 65 | 60 | 58 | 59 | 59 | 69 | 53 | 55 | 71 | 39 | 41 | 43 | 66 | 65 | 67 | 65 | 33 | 25 | 25 | 27 | 28 | 28 | 28 | 29 | 35 | 28 | 27 | 69 | 0 | 25 | 23 | 25 | 27 | 29 | 26 | 26 | 28 | 29 | 32 | 32 | 37
Groși | 71 | 52 | 45 | 50 | 41 | 58 | 51 | 51 | 54 | 54 | 48 | 47 | 43 | 40 | 51 | 37 | 39 | 50 | 15 | 17 | 18 | 42 | 40 | 43 | 41 | 19 | 16 | 15 | 16 | 19 | 22 | 20 | 19 | 13 | 7 | 11 | 53 | 25 | 0 | 3 | 3 | 8 | 14 | 10 | 7 | 9 | 13 | 15 | 16 | 16
Ocoliș | 73 | 55 | 48 | 53 | 44 | 61 | 54 | 54 | 57 | 57 | 50 | 50 | 46 | 43 | 54 | 40 | 42 | 52 | 16 | 19 | 20 | 43 | 42 | 45 | 43 | 17 | 13 | 12 | 13 | 16 | 19 | 18 | 17 | 13 | 10 | 14 | 56 | 23 | 3 | 0 | 2 | 7 | 12 | 8 | 5 | 8 | 11 | 13 | 14 | 16
Satu Nou de Jos | 74 | 55 | 47 | 53 | 44 | 61 | 54 | 54 | 57 | 57 | 51 | 51 | 46 | 43 | 54 | 41 | 42 | 52 | 15 | 17 | 18 | 42 | 41 | 44 | 42 | 16 | 13 | 11 | 12 | 16 | 18 | 17 | 16 | 11 | 11 | 15 | 56 | 25 | 3 | 2 | 0 | 5 | 11 | 7 | 3 | 6 | 10 | 12 | 13 | 14
Recea | 78 | 58 | 50 | 58 | 49 | 65 | 57 | 58 | 61 | 62 | 55 | 55 | 50 | 46 | 57 | 45 | 46 | 54 | 15 | 17 | 18 | 41 | 40 | 44 | 43 | 11 | 9 | 8 | 8 | 12 | 15 | 13 | 12 | 8 | 15 | 20 | 59 | 27 | 8 | 7 | 5 | 0 | 6 | 3 | 2 | 1 | 5 | 6 | 8 | 10
Bozânta Mică | 85 | 63 | 55 | 64 | 55 | 72 | 63 | 64 | 67 | 68 | 61 | 61 | 56 | 52 | 63 | 51 | 52 | 59 | 19 | 21 | 21 | 43 | 43 | 47 | 47 | 5 | 6 | 5 | 3 | 7 | 9 | 8 | 6 | 9 | 21 | 26 | 65 | 29 | 14 | 12 | 11 | 6 | 0 | 5 | 8 | 6 | 1 | 3 | 3 | 10
Lăpușel | 80 | 60 | 52 | 60 | 51 | 68 | 59 | 61 | 63 | 64 | 57 | 57 | 52 | 49 | 60 | 47 | 48 | 57 | 17 | 20 | 21 | 43 | 43 | 46 | 46 | 9 | 7 | 5 | 6 | 9 | 12 | 11 | 9 | 10 | 17 | 21 | 62 | 26 | 10 | 8 | 7 | 3 | 5 | 0 | 3 | 3 | 4 | 6 | 7 | 12
Mocira | 77 | 57 | 49 | 56 | 47 | 64 | 56 | 57 | 60 | 60 | 54 | 54 | 49 | 45 | 57 | 43 | 45 | 54 | 15 | 17 | 19 | 42 | 41 | 44 | 43 | 13 | 10 | 9 | 9 | 13 | 15 | 14 | 13 | 9 | 14 | 18 | 58 | 26 | 7 | 5 | 3 | 2 | 8 | 3 | 0 | 3 | 7 | 8 | 10 | 12
Săsar | 79 | 58 | 49 | 58 | 49 | 66 | 57 | 58 | 61 | 62 | 55 | 55 | 50 | 46 | 57 | 45 | 46 | 54 | 14 | 16 | 17 | 40 | 39 | 43 | 42 | 10 | 10 | 8 | 8 | 12 | 15 | 13 | 12 | 7 | 16 | 20 | 59 | 28 | 9 | 8 | 6 | 1 | 6 | 3 | 3 | 0 | 4 | 6 | 7 | 9
Bozânta Mare | 83 | 61 | 53 | 62 | 53 | 70 | 61 | 63 | 65 | 66 | 60 | 60 | 54 | 50 | 62 | 49 | 50 | 57 | 17 | 19 | 20 | 42 | 42 | 46 | 45 | 6 | 7 | 6 | 4 | 8 | 11 | 9 | 7 | 8 | 20 | 24 | 64 | 29 | 13 | 11 | 10 | 5 | 1 | 4 | 7 | 4 | 0 | 2 | 3 | 9
Bușag | 84 | 61 | 53 | 63 | 54 | 71 | 61 | 63 | 66 | 67 | 60 | 61 | 55 | 50 | 62 | 50 | 51 | 57 | 17 | 19 | 19 | 40 | 40 | 45 | 45 | 5 | 8 | 8 | 6 | 9 | 11 | 10 | 8 | 7 | 21 | 26 | 64 | 32 | 15 | 13 | 12 | 6 | 3 | 6 | 8 | 6 | 2 | 0 | 1 | 7
Merișor | 86 | 62 | 54 | 64 | 56 | 72 | 63 | 64 | 67 | 68 | 62 | 62 | 56 | 52 | 63 | 51 | 52 | 58 | 18 | 20 | 20 | 41 | 41 | 45 | 45 | 4 | 8 | 8 | 6 | 8 | 11 | 9 | 7 | 8 | 23 | 27 | 65 | 32 | 16 | 14 | 13 | 8 | 3 | 7 | 10 | 7 | 3 | 1 | 0 | 7
Nistru | 83 | 57 | 48 | 61 | 53 | 68 | 58 | 60 | 62 | 65 | 58 | 59 | 51 | 46 | 57 | 47 | 48 | 51 | 12 | 13 | 14 | 33 | 33 | 38 | 38 | 10 | 15 | 15 | 13 | 16 | 18 | 17 | 15 | 3 | 21 | 26 | 60 | 37 | 16 | 16 | 14 | 10 | 10 | 12 | 12 | 9 | 9 | 7 | 7 | 0
